#,,,,,,,
#,,,,,,,
# US Geological Survey,,,,,,,
# retrieved: 2022-06-29 22:50:03 EDT      (caww01),,,,,,,
#,,,,,,,
# This file contains USGS Surface-Water Monthly Statistics,,,,,,,
#,,,,,,,
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.,,,,,,,
# The user is responsible for assessment and use of statistics from this site.,,,,,,,
# For more details on why the statistics may not match,,,,,,,
#,,,,,,,
# ** No Incomplete data have been used for statistical calculation,,,,,,,
#,,,,,,,
# This file includes the following columns:,,,,,,,
#,,,,,,,
#,,,,,,,
# agency_cd    agency code,,,,,,,
# site_no USGS site number,,,,,,,
# parameter_cd,,,,,,,
# ts_id,,,,,,,
# year_nu Calendar year for value,,,,,,,
# month_nu     Month for value,,,,,,,
# mean_va monthly-mean value.,,,,,,,
#         if there is not complete record,,,,,,,
#         for a month this field is blank,,,,,,,
#,,,,,,,
#,,,,,,,
# Sites in this file include:,,,,,,,
# USGS 09050700 BLUE RIVER BELOW DILLON,,,,,,,
# ,,,,,,,
# Explanation of Parameter Code and ts_id used in the Statistics Data ,,,,,,,
# parameter_cd,Parameter Name,,,,,ts_id,Location Name
# 00060,,Discharge,,,,,
#,,,,,,,
#,,,,,,,
agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va,
5s,15s,5s,3n,4s,2s,12n,
USGS,9050700,60,18527,1994,10,93.2,
USGS,9050700,60,18527,1994,11,103.6,
USGS,9050700,60,18527,1994,12,101.2,
USGS,9050700,60,18527,1995,1,60.1,
USGS,9050700,60,18527,1995,2,54,
USGS,9050700,60,18527,1995,3,104.1,
USGS,9050700,60,18527,1995,4,86.3,
USGS,9050700,60,18527,1995,5,401,
USGS,9050700,60,18527,1995,6,1178,
USGS,9050700,60,18527,1995,7,1376,
USGS,9050700,60,18527,1995,8,550.6,
USGS,9050700,60,18527,1995,9,222.5,
USGS,9050700,60,18527,1995,10,226.6,
USGS,9050700,60,18527,1995,11,239,
USGS,9050700,60,18527,1995,12,117.4,
USGS,9050700,60,18527,1996,1,104,
USGS,9050700,60,18527,1996,2,104.8,
USGS,9050700,60,18527,1996,3,269.1,
USGS,9050700,60,18527,1996,4,741.6,
USGS,9050700,60,18527,1996,5,738.6,
USGS,9050700,60,18527,1996,6,1412,
USGS,9050700,60,18527,1996,7,713.6,
USGS,9050700,60,18527,1996,8,184.9,
USGS,9050700,60,18527,1996,9,104,
USGS,9050700,60,18527,1996,10,103.5,
USGS,9050700,60,18527,1996,11,103.5,
USGS,9050700,60,18527,1996,12,103.9,
USGS,9050700,60,18527,1997,1,103.8,
USGS,9050700,60,18527,1997,2,154.7,
USGS,9050700,60,18527,1997,3,144.7,
USGS,9050700,60,18527,1997,4,260.5,
USGS,9050700,60,18527,1997,5,696.8,
USGS,9050700,60,18527,1997,6,1544,
USGS,9050700,60,18527,1997,7,431.9,
USGS,9050700,60,18527,1997,8,440.7,
USGS,9050700,60,18527,1997,9,175.1,
USGS,9050700,60,18527,1997,10,116,
USGS,9050700,60,18527,1997,11,260.1,
USGS,9050700,60,18527,1997,12,117.7,
USGS,9050700,60,18527,1998,1,111.7,
USGS,9050700,60,18527,1998,2,112.9,
USGS,9050700,60,18527,1998,3,111.4,
USGS,9050700,60,18527,1998,4,110.4,
USGS,9050700,60,18527,1998,5,428.1,
USGS,9050700,60,18527,1998,6,427.1,
USGS,9050700,60,18527,1998,7,214.5,
USGS,9050700,60,18527,1998,8,278.2,
USGS,9050700,60,18527,1998,9,214.1,
USGS,9050700,60,18527,1998,10,237.5,
USGS,9050700,60,18527,1998,11,135.1,
USGS,9050700,60,18527,1998,12,104.7,
USGS,9050700,60,18527,1999,1,103.6,
USGS,9050700,60,18527,1999,2,101.1,
USGS,9050700,60,18527,1999,3,85.8,
USGS,9050700,60,18527,1999,4,66.4,
USGS,9050700,60,18527,1999,5,97.1,
USGS,9050700,60,18527,1999,6,1388,
USGS,9050700,60,18527,1999,7,696.8,
USGS,9050700,60,18527,1999,8,388.2,
USGS,9050700,60,18527,1999,9,200.9,
USGS,9050700,60,18527,1999,10,304.6,
USGS,9050700,60,18527,1999,11,110.4,
USGS,9050700,60,18527,1999,12,107.5,
