Year,Stream Inflow,Return,From/To GWStorage,From SoilM,From Plan (5),Total Inflow,Divert (6),From River by Well,Well Depletion,Reservoir Evaporation,Reservoir Seepage,Stream Outflow,Reservoir Change,To SoilM,SoilM Change,Total Outflow,Delta,CU (1),Loss (2),Pumping (3),Salvage (4)
1975,7257512620,5046504654,0,12824491.56,0,12316841765,6400770716,0,0,47245984.44,0,5822558463,33440876.28,23770393.08,-10945901.52,12316839298,1233.48,1280411447,75923160.96,0,0
1976,5291656337,5041169853,0,18211098.72,0,10351037288,6426519611,0,0,45797878.92,0,4066620741,-206115741.5,13465901.16,4743964.08,10351032354,3700.44,1379733724,71914350.96,0,0
1977,3062422470,4691544880,0,22777441.68,0,7776744792,5954849193,0,0,39171624.36,0,2249675097,-489728564.4,11941319.88,10836121.8,7776746026,0,1287933208,67748889,0,0
1978,6692332084,5060043330,0,18969688.92,0,11771345103,6507458101,0,0,40687571.28,0,4788772708,415455799.7,27108189.96,-8138501.04,11771343869,1233.48,1365003505,75636993.6,0,0
1979,8528941865,5087744824,0,17166341.16,0,13633853030,6392495298,0,0,46068011.04,0,6869067565,309050881,20715063.12,-3549955.44,13633846863,6167.4,1277185897,72066069,0,0
1980,7773699330,5149230101,0,16207927.2,0,12939137359,6350184467,0,0,48103253.04,0,6538164352,-13525108.2,16960350,-752422.8,12939134892,2466.96,1168967763,74338139.16,0,0
1981,4349091361,4983645279,0,25410921.48,0,9358147562,6279314874,0,0,43366689.84,0,3376985773,-366930696.5,16114182.72,9296738.76,9358147562,0,1307132324,71039813.64,0,0
1982,7315826620,5057025004,0,12886165.56,0,12385737790,6455883835,0,0,44057438.64,0,5602747393,270161723.5,26424842.04,-13538676.48,12385736557,2466.96,1335747827,74843865.96,0,0
1983,11321158206,5080903944,0,9549602.16,0,16411611752,6199053564,0,0,48345015.12,0,9969103774,185562264.2,11261672.4,-1712070.24,16411614219,-1233.48,1084433678,72355936.8,0,0
1984,13284041803,5299868846,0,10775681.28,0,18594686330,6447903220,0,0,50194001.64,0,12067782417,18031010.64,12643170,-1866255.24,18594687564,0,1111576405,82523512.44,0,0
1985,10813007618,5290082416,0,15265548.48,0,16118356816,6529525058,0,0,50766336.36,0,9589465767,-66665893.56,11401055.64,3864492.84,16118355583,-1233.48,1231169692,78168094.56,0,0
1986,10720578028,5223914848,0,11747663.52,0,15956240540,6442917494,0,0,49740081,0,9428444820,23386780.8,14293566.24,-2545902.72,15956238073,1233.48,1186035425,82249679.88,0,0
1987,7406124757,5063658660,0,18787133.88,0,12488570551,6183013390,0,0,49307129.52,0,6314736719,-77279988.96,10845989.64,7941144.24,12488564383,6167.4,1122545743,71893381.8,0,0
1988,5570674446,4884231725,0,25077881.88,0,10479984054,6147603879,0,0,47676468.96,0,4248353049,11275240.68,20258675.52,4819206.36,10479986520,-2466.96,1269796118,68777611.32,0,0
1989,4737722671,5005673999,0,21379908.84,0,9764776579,6467735111,0,0,44845632.36,0,3489458180,-258644720.8,20230305.48,1149603.36,9764775345,1233.48,1430299003,73825011.48,0,0
1990,4061448759,4871952432,0,20309248.2,0,8953710439,6198461493,0,0,42119641.56,0,2786500395,-93685272.96,18556473.12,1752775.08,8953706739,3700.44,1305358580,69421487.88,0,0
1991,5803498730,4924698504,0,19792420.08,0,10747989654,6237634351,0,0,44269597.2,0,4296535245,149756806.8,25188895.08,-5396475,10747988421,1233.48,1286488803,67687215,0,0
1992,5374975444,4904686524,0,23310305.04,0,10302972273,6234491444,0,0,44712416.52,0,4064277129,-63819021.72,20995063.08,2315241.96,10302972273,0,1306627831,70556289.48,0,0
1993,9281790216,5087989053,0,14168984.76,0,14383947020,6495244182,0,0,46827834.72,0,7585998211,241700406,23624842.44,-9455857.68,14383942086,6167.4,1355911524,73252676.76,0,0
1994,5304839771,4948920350,0,25518234.24,0,10279279589,6307449319,0,0,46937614.44,0,4023690703,-124317515.3,13284579.6,12233654.64,10279279589,-1233.48,1369653725,70583426.04,0,0
1995,10396793228,4998577788,0,11582377.2,0,15406953394,6233587303,0,0,46853737.8,0,8893676967,221250541.1,25050745.32,-13467134.64,15406952160,2466.96,1187310844,68627126.76,0,0
1996,8076831974,5061635753,0,21630305.28,0,13160098032,6300529496,0,0,49140609.72,0,6831851006,-43057086.36,13670658.84,7959646.44,13160095565,3700.44,1233864846,70690738.8,0,0
1997,10236470432,5058550819,0,12244755.96,0,15307266007,6346797331,0,0,49111006.2,0,8838574949,60536731.44,20929688.64,-8684932.68,15307264774,1233.48,1256541142,71993293.68,0,0
1998,7796270781,5135809839,0,15566517.6,0,12947647137,6344833631,0,0,50033649.24,0,6633759052,-96546946.56,11482465.32,4085285.76,12947648371,1233.48,1177027321,74911707.36,0,0
1999,6588091922,5075426059,0,16453389.72,0,11679971371,6176198413,0,0,48707658.24,0,5359349719,79259724.36,16542200.28,-88810.56,11679970138,1233.48,1100700812,71085452.4,0,0
2000,5536959738,5063735136,0,27300612.84,0,10627995486,6394759968,0,0,47733209.04,0,4342199908,-184000678.6,18417089.88,8883522.96,10627993019,2466.96,1327204744,70836289.44,0,0
2001,4754139057,4863966882,0,21621670.92,0,9639726376,6233660079,0,0,45279817.32,0,3427753343,-88587300.12,21611803.08,9867.84,9639726376,0,1361558396,67753822.92,0,0
2002,2879628135,4467454868,0,22053388.92,0,7369136392,5668680600,0,0,38248981.32,0,2181907706,-541735781.6,16464491.04,5588897.88,7369156128,-19735.68,1219970927,62933383.08,0,0
2003,5192023223,4866490582,0,21362640.12,0,10079875212,6128160534,0,0,41484399.36,0,3379391059,509476579.2,27393123.84,-6030483.72,10079875212,0,1186877892,67977082.8,0,0
2004,4127173507,4856436487,0,22624490.16,0,9006234484,6108206528,0,0,41774267.16,0,3000826179,-167196980.5,22407397.68,218325.96,9006235718,0,1242367223,66537611.64,0,0
2005,7109159513,4971763166,0,17714006.28,0,12098636686,6183642465,0,0,45071359.2,0,5605391975,246813180.6,24171274.08,-6458501.28,12098631752,4933.92,1159847411,69196994.52,0,0
2006,6257444040,5020922278,0,22263080.52,0,11300629399,6465643129,0,0,45520345.92,0,4792217818,-25021141.8,18660085.44,3602995.08,11300625698,3700.44,1428701646,70515584.64,0,0
2007,5924614132,4995870300,0,23083344.72,0,10943567776,6241324923,0,0,46294971.36,0,4573560051,59302017.96,21330569.64,1752775.08,10943565309,2466.96,1228362291,68076994.68,0,0
2008,9073282757,4981701315,0,15185372.28,0,14070169444,6448852999,0,0,48146424.84,0,7478051443,79936904.88,22704666.36,-7519294.08,14070171911,-3700.44,1436656359,67912941.84,0,0
2009,7537809848,5088397335,0,21356472.72,0,12647563656,6414376000,0,0,48622548.12,0,6146031192,17176209,17055327.96,4301144.76,12647562422,1233.48,1311332324,68907126.72,0,0
2010,5737370634,4901266084,0,22560349.2,0,10661197067,6096800539,0,0,47982372,0,4523543671,-29694797.52,18995592,3564757.2,10661192133,4933.92,1193111900,65252325.48,0,0
2011,9926425366,4989004750,0,12995945.28,0,14928424828,6369115918,0,0,48719993.04,0,8394835453,102753817.9,22783609.08,-9787663.8,14928422361,3700.44,1341482275,67962281.04,0,0
2012,3730541846,4871678599,0,24896560.32,0,8627117005,6114500977,0,0,43622020.2,0,2940718699,-496622484.1,11213566.68,13682993.64,8627117005,1233.48,1250937442,69233998.92,0,0
2013,4399107742,4700513514,0,18845107.44,0,9118465129,5930446025,0,0,41386954.44,0,2974876227,153319097,22322287.56,-3478413.6,9118870944,-407048.4,1219493570,61891092.48,0,0
